algorithm,seed,cost_function,value,name,level
BC,3,discomfort_hot_proportion,0.6222961730449251,Building_3,building
BC,3,discomfort_cold_delta_minimum,0.0,Building_3,building
BC,3,discomfort_cold_delta_maximum,0.9409847259521484,Building_3,building
BC,3,discomfort_cold_delta_average,0.027853711446126302,Building_3,building
BC,3,discomfort_hot_delta_minimum,0.0,Building_3,building
BC,3,discomfort_hot_delta_maximum,7.776096343994141,Building_3,building
BC,3,discomfort_hot_delta_average,2.212690920299954,Building_3,building
BC,3,one_minus_thermal_resilience_proportion,1.0,Building_3,building
BC,3,power_outage_normalized_unserved_energy_total,0.5398145409322376,Building_3,building
BC,3,annual_normalized_unserved_energy_total,0.012011230918315012,Building_3,building
IQL,1,all_time_peak_average,0.8924304025831274,District,district
IQL,1,annual_normalized_unserved_energy_total,0.011509262556333714,District,district
IQL,1,carbon_emissions_total,0.6188963003002339,District,district
IQL,1,cost_total,0.5915972549275447,District,district
IQL,1,daily_one_minus_load_factor_average,1.1542040458372957,District,district
IQL,1,daily_peak_average,0.7893590905468739,District,district
IQL,1,discomfort_cold_delta_average,0.026656369809751158,District,district
IQL,1,discomfort_cold_delta_maximum,1.2949689229329426,District,district
IQL,1,discomfort_cold_delta_minimum,0.0,District,district
IQL,1,discomfort_cold_proportion,0.0018656716417910447,District,district
IQL,1,discomfort_hot_delta_average,3.0716118388705786,District,district
IQL,1,discomfort_hot_delta_maximum,8.80105463663737,District,district
IQL,1,discomfort_hot_delta_minimum,0.0,District,district
IQL,1,discomfort_hot_proportion,0.6324369641548694,District,district
IQL,1,discomfort_proportion,0.6343026357966604,District,district
IQL,1,electricity_consumption_total,0.624974090001742,District,district
IQL,1,monthly_one_minus_load_factor_average,1.0787265501783612,District,district
IQL,1,one_minus_thermal_resilience_proportion,0.9095238095238095,District,district
IQL,1,power_outage_normalized_unserved_energy_total,0.5311306568263356,District,district
IQL,1,ramping_average,0.9093581172271866,District,district
IQL,1,zero_net_energy,0.5930161659255466,District,district
IQL,1,electricity_consumption_total,0.49191802171719146,Building_1,building
IQL,1,zero_net_energy,0.4125733993089697,Building_1,building
IQL,1,carbon_emissions_total,0.48802106869405293,Building_1,building
IQL,1,cost_total,0.4645194828799897,Building_1,building
IQL,1,discomfort_proportion,0.9775596072931276,Building_1,building
IQL,1,discomfort_cold_proportion,0.0,Building_1,building
IQL,1,discomfort_hot_proportion,0.9775596072931276,Building_1,building
IQL,1,discomfort_cold_delta_minimum,0.0,Building_1,building
IQL,1,discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
IQL,1,discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
IQL,1,discomfort_hot_delta_minimum,0.0,Building_1,building
IQL,1,discomfort_hot_delta_maximum,11.980812072753906,Building_1,building
IQL,1,discomfort_hot_delta_average,5.965939736366272,Building_1,building
IQL,1,one_minus_thermal_resilience_proportion,1.0,Building_1,building
IQL,1,power_outage_normalized_unserved_energy_total,0.4982319641406801,Building_1,building
IQL,1,annual_normalized_unserved_energy_total,0.011053752046860625,Building_1,building
IQL,1,electricity_consumption_total,0.6987372987166978,Building_2,building
IQL,1,zero_net_energy,0.6986059499991761,Building_2,building
IQL,1,carbon_emissions_total,0.6937268342006673,Building_2,building
IQL,1,cost_total,0.6673012023565906,Building_2,building
IQL,1,discomfort_proportion,0.43283582089552236,Building_2,building
IQL,1,discomfort_cold_proportion,0.005597014925373134,Building_2,building
IQL,1,discomfort_hot_proportion,0.42723880597014924,Building_2,building
IQL,1,discomfort_cold_delta_minimum,0.0,Building_2,building
IQL,1,discomfort_cold_delta_maximum,2.7078800201416016,Building_2,building
IQL,1,discomfort_cold_delta_average,0.0445667478773329,Building_2,building
IQL,1,discomfort_hot_delta_minimum,0.0,Building_2,building
IQL,1,discomfort_hot_delta_maximum,7.536252975463867,Building_2,building
IQL,1,discomfort_hot_delta_average,1.5050197574827406,Building_2,building
IQL,1,one_minus_thermal_resilience_proportion,0.9285714285714286,Building_2,building
IQL,1,power_outage_normalized_unserved_energy_total,0.5569019533506265,Building_2,building
IQL,1,annual_normalized_unserved_energy_total,0.012084354891514071,Building_2,building
